,Currency,Strategy,Time,Threshold,PnL,Fitness,TR,std(RR),MDD,Win Rate,nTrade
0,AUDJPY,B&H,202107,None,-270400,-0.037,-0.0325,,0.0454,0.0,1
1,AUDJPY,RSI,202107,None,-208000,-0.0264,-0.0252,0.0029,0.0122,0.5455,55
2,AUDJPY,MACD,202107,None,-63200,-0.0085,-0.0079,0.0025,0.0057,0.3214,56
3,AUDJPY,STS1,202107,0.002,-200200,-0.0251,-0.0245,0.0016,0.0059,0.3735,83
4,AUDJPY,STS2,202107,0.004,-183800,-0.0229,-0.0225,0.0026,0.0037,0.32,25
5,AUDJPY,STS3,202107,0.005,-65200,-0.0083,-0.0079,0.0034,0.0044,0.5333,15
6,AUDJPY,STS4,202107,0.008,-90400,-0.0117,-0.011,0.0064,0.0071,0.2,5
7,AUDJPY,MTS,202107,All,-125900,-0.016,-0.0154,0.0018,0.0059,0.3438,64
8,AUDJPY,MTSGA,202107,All,-69300,-0.0091,-0.0085,0.0015,0.0059,0.5432,81
9,AUDJPY,B&H,202108,None,4400,-0.0033,0.0005,,0.0384,1.0,1
10,AUDJPY,RSI,202108,None,-1400,-0.0011,-0.0001,0.0026,0.0097,0.6471,34
11,AUDJPY,MACD,202108,None,-31000,-0.0043,-0.0038,0.0025,0.005,0.3043,46
12,AUDJPY,STS1,202108,0.002,-64700,-0.0087,-0.008,0.0017,0.0074,0.3651,63
13,AUDJPY,STS2,202108,0.004,128300,0.0156,0.016,0.0025,0.0039,0.7333,15
14,AUDJPY,STS3,202108,0.005,90700,0.0109,0.0113,0.0034,0.0043,0.6,10
15,AUDJPY,STS4,202108,0.008,17200,0.0017,0.0024,0.0066,0.0069,0.5,4
16,AUDJPY,MTS,202108,All,51900,0.0059,0.0066,0.0022,0.0073,0.3953,43
17,AUDJPY,MTSGA,202108,All,-25300,-0.0039,-0.0032,0.0015,0.0073,0.4576,59
18,AUDJPY,B&H,202109,None,-38100,-0.008,-0.0047,,0.033,0.0,1
19,AUDJPY,RSI,202109,None,-275900,-0.0349,-0.0341,0.0028,0.0084,0.4898,49
20,AUDJPY,MACD,202109,None,-58400,-0.0073,-0.0068,0.0023,0.0051,0.3091,55
21,AUDJPY,STS1,202109,0.002,-49700,-0.0067,-0.0062,0.0015,0.0049,0.4111,90
22,AUDJPY,STS2,202109,0.004,-25900,-0.0032,-0.0028,0.0031,0.0035,0.44,25
23,AUDJPY,STS3,202109,0.005,27200,0.0032,0.0036,0.0029,0.0043,0.5333,15
24,AUDJPY,STS4,202109,0.008,-125400,-0.0163,-0.0156,0.0064,0.0069,0.4286,7
25,AUDJPY,MTS,202109,All,55100,0.0066,0.0069,0.0016,0.0034,0.4576,59
26,AUDJPY,MTSGA,202109,All,106400,0.013,0.0133,0.0015,0.003,0.5476,84
27,AUDJPY,B&H,202110,None,549700,0.0669,0.0685,,0.0163,1.0,1
28,AUDJPY,RSI,202110,None,159000,0.0185,0.0194,0.002,0.0092,0.6324,68
29,AUDJPY,MACD,202110,None,274200,0.0326,0.033,0.0023,0.0043,0.4355,62
30,AUDJPY,STS1,202110,0.002,78200,0.0095,0.0098,0.0015,0.0026,0.4824,85
31,AUDJPY,STS2,202110,0.004,186500,0.0222,0.0226,0.0039,0.0036,0.5714,21
32,AUDJPY,STS3,202110,0.005,206800,0.0249,0.0253,0.003,0.0044,0.75,12
33,AUDJPY,STS4,202110,0.008,251300,0.0292,0.0299,0.0048,0.0068,0.6667,6
34,AUDJPY,MTS,202110,All,99500,0.0119,0.0123,0.0016,0.0042,0.5435,46
35,AUDJPY,MTSGA,202110,All,65000,0.0079,0.0083,0.0013,0.0038,0.5224,67
36,AUDJPY,B&H,202111,None,-438400,-0.0573,-0.0511,,0.0623,0.0,1
37,AUDJPY,RSI,202111,None,-274200,-0.034,-0.0329,0.0022,0.0114,0.5412,85
38,AUDJPY,MACD,202111,None,-67000,-0.0078,-0.0072,0.0025,0.0063,0.3077,65
39,AUDJPY,STS1,202111,0.002,-425300,-0.0518,-0.0512,0.0018,0.0058,0.37,100
40,AUDJPY,STS2,202111,0.004,34000,0.004,0.0044,0.0026,0.0036,0.4615,26
41,AUDJPY,STS3,202111,0.005,-251500,-0.0308,-0.0304,0.0032,0.0045,0.3333,21
42,AUDJPY,STS4,202111,0.008,-324700,-0.0397,-0.039,0.0046,0.0072,0.1,10
43,AUDJPY,MTS,202111,All,-71000,-0.0083,-0.0077,0.0022,0.0057,0.3875,80
44,AUDJPY,MTSGA,202111,All,-113100,-0.0139,-0.0133,0.0018,0.0056,0.4299,107
45,AUDJPY,B&H,202112,None,227800,0.0252,0.028,,0.0283,1.0,1
46,AUDJPY,RSI,202112,None,231200,0.0274,0.0285,0.0019,0.0105,0.6726,113
47,AUDJPY,MACD,202112,None,56800,0.0069,0.0073,0.0026,0.0042,0.2714,70
48,AUDJPY,STS1,202112,0.002,152000,0.0184,0.0187,0.0017,0.0029,0.5052,97
49,AUDJPY,STS2,202112,0.004,-14100,-0.0023,-0.0019,0.003,0.0035,0.4815,27
50,AUDJPY,STS3,202112,0.005,163300,0.0196,0.02,0.0026,0.0043,0.6923,13
51,AUDJPY,STS4,202112,0.008,6800,0.0003,0.001,0.0071,0.0068,0.5,4
52,AUDJPY,MTS,202112,All,24500,0.0028,0.0031,0.0017,0.0033,0.4528,53
53,AUDJPY,MTSGA,202112,All,33600,0.0038,0.0041,0.0015,0.0032,0.4795,73
54,AUDJPY,B&H,202201,None,-253700,-0.0344,-0.0303,,0.0411,0.0,1
55,AUDJPY,RSI,202201,None,-383300,-0.0471,-0.0461,0.0022,0.0096,0.5446,101
56,AUDJPY,MACD,202201,None,-61300,-0.0078,-0.0073,0.0028,0.0047,0.2923,65
57,AUDJPY,STS1,202201,0.002,-320000,-0.0394,-0.0389,0.0016,0.0046,0.3654,104
58,AUDJPY,STS2,202201,0.004,-198100,-0.0244,-0.024,0.0026,0.0035,0.3214,28
59,AUDJPY,STS3,202201,0.005,-103700,-0.013,-0.0126,0.0042,0.0044,0.2778,18
60,AUDJPY,STS4,202201,0.008,-63500,-0.0084,-0.0077,0.0052,0.007,0.4444,9
61,AUDJPY,MTS,202201,All,-45400,-0.0059,-0.0054,0.0021,0.0047,0.4231,78
62,AUDJPY,MTSGA,202201,All,114100,0.0136,0.014,0.0019,0.0037,0.4842,95
63,AUDJPY,B&H,202202,None,238100,0.0268,0.0293,,0.025,1.0,1
64,AUDJPY,RSI,202202,None,279000,0.0332,0.0341,0.0024,0.0088,0.6105,95
65,AUDJPY,MACD,202202,None,-55100,-0.0076,-0.0065,0.0025,0.0115,0.35,80
66,AUDJPY,STS1,202202,0.002,13300,0.0009,0.002,0.0021,0.0114,0.4561,114
67,AUDJPY,STS2,202202,0.004,59400,0.0066,0.0073,0.0028,0.0074,0.5,32
68,AUDJPY,STS3,202202,0.005,32400,0.0036,0.004,0.0031,0.0044,0.5,22
69,AUDJPY,STS4,202202,0.008,-89300,-0.0113,-0.0106,0.0064,0.007,0.3333,12
70,AUDJPY,MTS,202202,All,138000,0.0162,0.0169,0.0022,0.0074,0.4507,71
71,AUDJPY,MTSGA,202202,All,192800,0.0229,0.0236,0.0019,0.0074,0.4356,101
72,AUDJPY,B&H,202203,None,820900,0.0948,0.0982,,0.0336,1.0,1
73,AUDJPY,RSI,202203,None,569000,0.0641,0.0655,0.0026,0.0138,0.6319,144
74,AUDJPY,MACD,202203,None,380900,0.0422,0.043,0.0027,0.0077,0.4158,101
75,AUDJPY,STS1,202203,0.002,-116100,-0.0136,-0.0129,0.0017,0.0069,0.4277,166
76,AUDJPY,STS2,202203,0.004,115900,0.013,0.0134,0.003,0.0039,0.4348,46
77,AUDJPY,STS3,202203,0.005,-63800,-0.0071,-0.0066,0.0028,0.0049,0.4615,26
78,AUDJPY,STS4,202203,0.008,-70100,-0.0076,-0.0068,0.0053,0.0078,0.4167,12
79,AUDJPY,MTS,202203,All,253400,0.0279,0.0284,0.0023,0.0051,0.4835,91
80,AUDJPY,MTSGA,202203,All,349300,0.0393,0.0398,0.0018,0.0051,0.5255,137
81,AUDJPY,B&H,202204,None,-20400,-0.0076,-0.0022,,0.0535,0.0,1
82,AUDJPY,RSI,202204,None,-325500,-0.0358,-0.0347,0.0026,0.011,0.5213,94
83,AUDJPY,MACD,202204,None,-28800,-0.0032,-0.0025,0.0031,0.0066,0.2887,97
84,AUDJPY,STS1,202204,0.002,-99800,-0.0117,-0.0103,0.0022,0.0141,0.4576,118
85,AUDJPY,STS2,202204,0.004,37300,0.0039,0.0043,0.0037,0.004,0.4634,41
86,AUDJPY,STS3,202204,0.005,77200,0.0079,0.0084,0.0043,0.0049,0.4,25
87,AUDJPY,STS4,202204,0.008,13900,0.0009,0.0017,0.007,0.008,0.3,10
88,AUDJPY,MTS,202204,All,681800,0.0733,0.074,0.0032,0.0073,0.5161,93
89,AUDJPY,MTSGA,202204,All,684700,0.0735,0.0742,0.0025,0.0069,0.5478,115
90,AUDJPY,B&H,202205,None,86300,0.0025,0.0094,,0.0691,1.0,1
91,AUDJPY,RSI,202205,None,-196600,-0.023,-0.0215,0.0026,0.0153,0.5727,227
92,AUDJPY,MACD,202205,None,-390800,-0.0431,-0.0423,0.0028,0.0077,0.288,125
93,AUDJPY,STS1,202205,0.002,-389800,-0.0428,-0.0421,0.0017,0.0066,0.4247,259
94,AUDJPY,STS2,202205,0.004,76200,0.0081,0.0086,0.0029,0.0052,0.4769,65
95,AUDJPY,STS3,202205,0.005,70900,0.0073,0.0078,0.0035,0.0049,0.4872,39
96,AUDJPY,STS4,202205,0.008,258700,0.0285,0.0293,0.0058,0.0079,0.6842,19
97,AUDJPY,MTS,202205,All,398500,0.0439,0.0445,0.0024,0.0063,0.4419,172
98,AUDJPY,MTSGA,202205,All,377100,0.0416,0.0422,0.0019,0.0063,0.5021,235
99,AUDJPY,B&H,202206,None,-41500,-0.0095,-0.0045,,0.0496,0.0,1
100,AUDJPY,RSI,202206,None,-120500,-0.0136,-0.0123,0.0032,0.0126,0.4953,107
101,AUDJPY,MACD,202206,None,-139900,-0.0153,-0.0144,0.0026,0.0092,0.3429,105
102,AUDJPY,STS1,202206,0.002,-108700,-0.013,-0.0113,0.0023,0.0167,0.4275,131
103,AUDJPY,STS2,202206,0.004,136800,0.0143,0.0147,0.0027,0.004,0.5122,41
104,AUDJPY,STS3,202206,0.005,-10500,-0.0015,-0.001,0.0033,0.005,0.4,30
105,AUDJPY,STS4,202206,0.008,82500,0.008,0.0088,0.0056,0.0079,0.5714,14
106,AUDJPY,MTS,202206,All,224100,0.0235,0.0242,0.0023,0.0074,0.4793,121
107,AUDJPY,MTSGA,202206,All,21000,0.002,0.0027,0.0019,0.0074,0.4625,160
